Make;Model;Year;Engine Fuel Type;Engine HP;Engine Cylinders;Transmission Type;Driven_Wheels;Number of Doors;Market Category;Vehicle Size;Vehicle Style;highway MPG;city mpg;Popularity
BMW;1 Series M;2011;premium unleaded (required);335.0;6.0;MANUAL;rear wheel drive;2.0;Factory Tuner,Luxury,High-Performance;Compact;Coupe;26;19;3916
BMW;1 Series;2011;premium unleaded (required);300.0;6.0;MANUAL;rear wheel drive;2.0;Luxury,Performance;Compact;Convertible;28;19;3916
BMW;1 Series;2011;premium unleaded (required);300.0;6.0;MANUAL;rear wheel drive;2.0;Luxury,High-Performance;Compact;Coupe;28;20;3916
BMW;1 Series;2011;premium unleaded (required);230.0;6.0;MANUAL;rear wheel drive;2.0;Luxury,Performance;Compact;Coupe;28;18;3916
BMW;1 Series;2011;premium unleaded (required);230.0;6.0;MANUAL;rear wheel drive;2.0;Luxury;Compact;Convertible;28;18;3916
BMW;1 Series;2012;premium unleaded (required);230.0;6.0;MANUAL;rear wheel drive;2.0;Luxury,Performance;Compact;Coupe;28;18;3916
BMW;1 Series;2012;premium unleaded (required);300.0;6.0;MANUAL;rear wheel drive;2.0;Luxury,Performance;Compact;Convertible;26;17;3916
BMW;1 Series;2012;premium unleaded (required);300.0;6.0;MANUAL;rear wheel drive;2.0;Luxury,High-Performance;Compact;Coupe;28;20;3916
BMW;1 Series;2012;premium unleaded (required);230.0;6.0;MANUAL;rear wheel drive;2.0;Luxury;Compact;Convertible;28;18;3916
BMW;1 Series;2013;premium unleaded (required);230.0;6.0;MANUAL;rear wheel drive;2.0;Luxury;Compact;Convertible;27;18;3916
BMW;1 Series;2013;premium unleaded (required);300.0;6.0;MANUAL;rear wheel drive;2.0;Luxury,High-Performance;Compact;Coupe;28;20;3916
BMW;1 Series;2013;premium unleaded (required);230.0;6.0;MANUAL;rear wheel drive;2.0;Luxury,Performance;Compact;Coupe;28;19;3916
BMW;1 Series;2013;premium unleaded (required);300.0;6.0;MANUAL;rear wheel drive;2.0;Luxury,Performance;Compact;Convertible;28;19;3916
BMW;1 Series;2013;premium unleaded (required);230.0;6.0;MANUAL;rear wheel drive;2.0;Luxury;Compact;Convertible;28;19;3916
